product_name,product_category,product_description,product_price,product_quantity
Sweet Potato Tots,Food - Frozen Foods,"Crispy sweet potato bites, delicious as a side or snack.",4.29,18
Popcorn Chicken,Food - Frozen,"Crispy chicken bites, perfect for dipping.",6.49,79
Portable Bluetooth Speaker,Audio,Compact Bluetooth speaker with rich sound quality.,49.99,37
High-Pressure Handheld Shower Head,Bathroom,Shower head designed for a strong spray and complete coverage.,39.99,34
Hiking Boots,Footwear,Comfortable hiking boots for outdoor adventures.,79.99,82
Cranberry Almond Cookies,Food - Bakery,Delicious cookies with cranberries and almonds in every bite.,4.29,84
Almond Milk,Food - Dairy,"Deliciously creamy almond milk, perfect for smoothies.",3.29,87
Luxury Bathrobe,Clothing,Soft and cozy bathrobe perfect for relaxing at home.,49.99,63
Smartphone Photography Tripod,Electronics,Lightweight tripod designed for smartphone photography.,29.99,69
Deep Tissue Massage Gun,Health,Rechargeable massage gun for relieving muscle soreness.,89.99,80
Portable SSD,Storage,"Fast and compact external solid state drive, 1TB.",129.99,69
Eco-Friendly Yoga Mat,Fitness,Made from biodegradable materials for eco-conscious yogis.,39.99,91
Ice Cream Maker,Kitchen,Homemade ice cream maker for delicious desserts.,79.99,15
Cheddar Cheese Crackers,Food - Snacks,Crunchy crackers topped with real cheddar cheese flavor.,2.29,90
Eco-Friendly Disposable Plates,Kitchen,Compostable plates suitable for various occasions.,22.99,57
Cheddar Cheese Crackers,Food - Snacks,Crunchy crackers topped with real cheddar cheese flavor.,2.29,37
Faux Fur Coat,Clothing - Coats,A luxurious faux fur coat that adds glamour to any outfit.,129.99,90
Car Trash Can,Automotive,Compact trash can for keeping your car clean.,12.99,23
Garlic & Herb Goat Cheese,Food - Dairy,"Creamy goat cheese infused with herbs and garlic, perfect for spreading on crackers.",5.49,43
Deluxe First Aid Kit,Health,Comprehensive first aid kit for home and travel.,39.99,88
Balsamic Vinaigrette,Food - Dressings,Rich and tangy dressing perfect for salads.,2.69,80
V-Neck Sweater,Clothing - Tops,Classic V-neck sweater crafted from soft wool for warmth and style.,49.99,23
Crispy Onion Rings,Food - Frozen Foods,"Frozen onion rings, crispy and ready to bake.",4.29,96
Non-Stick Baking Sheets,Kitchen,Set of baking sheets for effortless baking.,29.99,11
Eco-Friendly Notepad,Office,Notepad made from recycled paper for sustainable note-taking.,8.99,89
Folding Pocket Knife,Tools,Compact knife with safety lock for everyday use.,24.99,79
Ceramic Planter Set,Home,Set of decorative ceramic planters for indoor plants.,39.99,29
Noise Cancelling Ear Muffs,Safety,Ear protection for shooting and industrial use.,24.99,61
Mediterranean Couscous Salad,Food - Salads,"Couscous salad with cucumbers, tomatoes, feta, and olives, ready to eat.",5.49,27
Spicy Garlic Edamame,Food - Snacks,"Steamed edamame tossed in a spicy garlic sauce, great for snacking.",3.99,97
Granola,Food - Breakfast,Crunchy and flavorful mix of oats and honey.,4.79,76
Rice Noodles,Food - Grains,"Thin rice noodles, ideal for stir-fries and soups.",3.49,81
Black Bean Soup,Food - Soups,"Spicy and flavorful soup made with black beans, perfect as a meal or starter.",3.49,13
Pineapple Coconut Yogurt,Food - Dairy,Creamy yogurt blended with fresh pineapple and coconut pieces.,4.49,39
Electric Heat Press Machine,Crafts,Ideal for creating custom designs on t-shirts and fabrics.,99.99,38
Camping Tent,Outdoor,Spacious 2-person camping tent with waterproof cover.,79.99,26
Sweet Potato and Chickpea Bowl,Food - Frozen Food,A nourishing bowl of sweet potatoes and chickpeas with spices.,6.49,29
Heart-Shaped Baking Molds,Kitchen,Love-themed molds for creating desserts and treats.,10.99,33
Shatterproof Wine Glasses,Outdoor,"Durable, unbreakable wine glasses for outdoor use.",24.99,1
Pork Tenderloin,Food - Meat,"Juicy pork tenderloin, great for roasting.",10.99,9
Collapsible Folding Chair,Outdoor,Lightweight and portable chair for camping or events.,29.99,3
Smartwatch,Wearable Tech,Stylish smartwatch with fitness tracking features.,199.99,64
Plaid Flannel Shirt,Clothing - Tops,"Soft flannel shirt with a timeless plaid pattern, perfect for layering.",29.99,27
Avocado Oil,Food - Oils,"A healthy oil extracted from avocados, ideal for frying and salads.",8.49,53
Mini Food Processor,Kitchen,Compact food processor for quick meal prep.,39.99,32
Pecan Pie Filling,Food - Baking Goods,Sweet and nutty filling for delicious homemade pecan pie.,3.99,13
Habanero Hot Sauce,Food - Condiments,Fiery hot sauce made with fresh habaneros and spices.,3.79,95
Chunky Knit Sweater,Clothing - Tops,Cozy oversized sweater perfect for chilly days with a textured knit design.,59.99,74
Adjustable Resistance Bands,Fitness,Set of resistance bands for versatile strength training workouts.,39.99,69
Portable Grill Cover,Outdoor,Durable cover to protect your grill from the elements.,24.99,62
Coconut Granola,Food - Snacks,Crunchy granola mixed with coconut flakes.,4.19,65
Ramen Noodles,Food - Pasta,Quick-cooking ramen for instant meals.,0.99,14
Freestanding Wine Rack,Home,Stylish wine rack to store and display bottles.,79.99,32
Maple Chipotle Glaze,Food - Condiments,A sweet and spicy glaze that's perfect for grilling or marinades.,3.49,66
Chickpea Snack Mix,Food - Snacks,"Crunchy, seasoned chickpeas for a wholesome snack.",3.49,45
Taro Chips,Food - Snacks,"Crispy chips made from taro root, a wonderful snack.",3.59,90
Set of Silicone Baking Molds,Kitchen,Flexible molds perfect for baking cakes and pastries.,15.99,62
Garlic Herb Cream Cheese,Food - Dairy,Spreadable cream cheese blended with garlic and herbs.,2.99,80
Pet Grooming Gloves,Pets,Gentle grooming gloves for shedding pets.,9.99,23
Spinach Feta Wraps,Food - Deli,"Whole wheat wraps filled with spinach, feta, and herbs.",4.29,94
Smart Plug,Smart Home,Wi-Fi enabled plug for controlling devices from your smartphone.,19.99,17
Smart Wi-Fi Camera,Smart Home,Indoor Wi-Fi camera for home security.,89.99,53
Dark Chocolate Raisins,Food - Snacks,Juicy raisins coated in rich dark chocolate.,3.49,80
Outdoor Adventure Backpack,Outdoor,Durable backpack for hiking or travel.,59.99,43
Photo Album,Home,Classic leather photo album for keepsakes.,24.99,88
Professional Chef Knife,Kitchen,High-carbon stainless steel chef knife for precision cutting.,89.99,61
Pasta (Fusilli),Food - Pasta,Twisted pasta perfect for salads and pasta dishes.,1.79,83
Pet Activity Tracker,Pets,GPS collar that monitors your pet's location and activity level.,59.99,70
Customizable Name Plate,Office,Personalized nameplate for offices or homes.,19.99,76
Rechargeable Battery Organizer,Home,Tidy storage solution for rechargeable batteries.,17.99,3
Folding Exercise Bike,Fitness,Space-saving bike for indoor workouts.,199.99,93
Adjustable Pet Grooming Table,Pets,Professional grooming table with adjustable height.,109.99,31
Travel Jewelry Case,Accessories,Portable case to organize and protect jewelry on trips.,24.99,35
Mango Chia Pudding,Food - Snacks,Healthy chia pudding made with mango and coconut milk.,4.49,18
Art Supplies Organizer,Art Supplies,Storage organizer for art supplies and tools.,18.99,28
Vegetable Stir Fry Mix,Food - Fresh Produce,A mix of fresh vegetables for quick stir-fries.,3.29,12
Organic Almond Flour,Food - Baking,Finely ground almonds for baking or cooking,6.99,74
Creamy Spinach Dip,Food - Prepared Foods,"Deliciously creamy spinach dip, perfect for parties.",5.99,22
Pumpkin Spice Granola,Food - Breakfast,Crunchy granola with pumpkin spice flavor.,4.99,51
Garlic Breadsticks,Food - Sides,"Ready-to-bake garlic breadsticks, perfect with pasta dishes.",3.49,89
Pistachio Ice Cream,Food - Frozen Desserts,Creamy pistachio-flavored ice cream with real nuts.,4.99,30
Mechanical Keyboard,Computers,High-performance mechanical keyboard with customizable RGB.,99.99,34
Tea Set with Infuser,Kitchen,Elegant tea set that includes an infuser for brewing.,34.99,5
Cable Knit Beanie,Clothing - Accessories,A cozy cable knit beanie to keep your head warm in winter.,19.99,20
Smartphone Gimbal Stabilizer,Photography,Stabilizer for smooth video recording with smartphones.,89.99,18
Oven-Baked Chicken Tenders,Food - Meat,"Crispy and juicy chicken tenders, perfect for dipping.",6.99,9
Cold Brew Coffee Maker,Kitchen,Brews coffee with a smooth flavor without bitterness.,34.99,35
Spicy Snack Mix,Food - Snacks,A crunchy blend of nuts and pretzels with a spicy kick.,4.99,85
Honey Sesame Chicken,Food - Frozen Food,A delicious chicken dish featuring honey and sesame flavors.,8.99,98
Energy Bites,Food - Snacks,Healthy energy bites made with oats and natural sweeteners.,3.99,64
Protein Bar Variety Pack,Food - Snacks,A pack of assorted nut and protein bars for a quick energy boost.,12.99,60
Electric Bike,Bicycles,Eco-friendly electric bike with a 30-mile range.,899.99,48
Throw Pillow Covers,Home,Set of decorative pillow covers to enhance your home decor.,22.99,70
Slim Wallet,Accessories,RFID-blocking slim wallet for cards and cash.,24.99,47
Herb Garlic Butter,Food - Condiments,"A flavorful garlic butter blend, perfect for cooking or baking.",3.99,24
Guitar Tuner,Music,Clip-on guitar tuner with LCD display.,19.99,71
Golf Putting Green,Sports,Indoor putting green for practicing your putting skills.,79.99,22
Honey,Food - Condiments,"Pure and natural honey, great for sweetening.",5.49,86
Chili Beans (canned),Food - Canned Goods,"Canned beans with chili sauce, perfect for chili dishes.",1.69,31
Orange Ginger Vinaigrette,Food - Condiments,Tangy vinaigrette with orange and ginger flavors.,3.99,48
Eco-Friendly Cleaning Cloths,Home,Reusable microfiber cloths for environmentally friendly cleaning.,12.99,12
Baked Falafel Balls,Food - Frozen Vegetables,"Frozen falafel balls made from chickpeas and herbs, perfect for quick meals or salads.",5.99,80
Cajun Seasoning,Food - Spices,Spicy seasoning mix for all your favorite dishes.,1.99,81
Multi-Purpose Plant Care Tool,Garden,"All-in-one tool for measuring soil moisture, light, and pH.",24.99,100
Travel Luggage Scale,Travel,Digital scale to avoid overweight baggage fees.,14.99,23
Puff Pastry,Food - Bakery,Versatile puff pastry for pies and pastries.,5.49,43
Pork Chops,Food - Meat,"Tender and juicy pork chops, perfect on the grill.",9.49,3
Collapsible Folding Chair,Outdoor,Lightweight and portable chair for camping or events.,29.99,40
Decorative Throw Pillows,Home,Set of stylish throw pillows for home decor.,29.99,69
Tropical Fruit Bowl,Food - Snacks,A mix of tropical fruits for a refreshing snack or dessert.,4.99,76
Herb Seasoned Croutons,Food - Salad Toppings,Crunchy croutons with a blend of herbs for salads.,2.99,16
Mini Indoor Herb Garden Kit,Garden,All-in-one kit for growing herbs in your kitchen.,24.99,51
Roasted Red Pepper Dip,Food - Snacks,"A blend of roasted red peppers and spices, perfect for dipping.",3.29,24
Folding Pocket Knife,Tools,Compact knife with safety lock for everyday use.,24.99,69
Summer Tank Dress,Clothing - Dresses,"A lightweight tank dress, ideal for warm weather outings.",39.99,39
Magnetic Phone Case,Accessories,Stylish case with magnetic closure for smartphones.,19.99,49
Roasted Red Pepper Dip,Food - Snacks,"A blend of roasted red peppers and spices, perfect for dipping.",3.29,14
Ice Pack,Health,Reusable gel ice pack for injuries and cooling.,8.99,91
Chocolate Hazelnut Spread,Food - Spreads,"A creamy spread made with chocolate and hazelnuts, perfect for toast.",5.99,40
Nature Explorer Lens Kit,Toys,Magical lens kit for kids to explore the outdoors.,19.99,58
Chocolate Covered Pretzels,Food - Snacks,"Crunchy pretzels coated in rich chocolate, a sweet treat.",3.29,59
Digital Meat Thermometer,Kitchen,Instant-read thermometer for precise cooking temperatures.,24.99,3
Car Vacuum Cleaner,Automotive,Compact vacuum designed specifically for cleaning vehicles.,39.99,24
Hummus Variety Pack,Food - Dairy,"A selection of different flavored hummus, great for snacking.",5.99,53
Zesty Garlic Hummus,Food - Snacks,Creamy chickpea dip infused with zesty garlic flavor.,3.99,76
Self-Watering Planter,Garden,Planter with self-watering feature for easy plant care.,24.99,52
Herbal Tea Infuser,Kitchen,Infuser for brewing loose-leaf herbal teas easily.,9.99,43
Peanut Butter Chocolate Chip Bars,Food - Snacks,Chewy bars made with peanut butter and chocolate chips.,4.59,48
Foldable Picnic Table,Outdoor,Lightweight and portable picnic table for outdoor use.,49.99,42
Foldable Yoga Mat,Fitness,Compact yoga mat that folds for easy storage and transport.,29.99,45
Vegan Cheese,Food - Dairy Alternatives,Dairy-free cheese alternative for your favorite dishes.,4.99,9
Gaming Mousepad,Gaming,Oversized gaming mousepad with smooth surface.,19.99,59
Blueberry Muffin Mix,Food - Baking,Make delightful blueberry muffins at home with this easy mix.,4.29,74
Cork Yoga Mat,Fitness,Eco-friendly yoga mat made from sustainable materials.,39.99,87
Garlic and Herb Rub,Food - Spices,A seasoning blend of garlic and herbs to enhance any dish.,2.29,49
Canned Coconut Milk,Food - Canned Goods,"Rich coconut milk, great for cooking and baking.",1.89,37
Memory Card,Storage,64GB SD memory card for cameras and devices.,15.99,88
Ceramic Bakeware Set,Kitchen,Durable ceramic bakeware for casseroles and desserts.,49.99,58
Motion Sensor Light,Home,Battery-operated motion sensor light for safety.,19.99,95
Chipotle Lime Salsa,Food - Condiments,Spicy salsa with chipotle and lime for a zesty kick.,3.99,10
Chili Powder,Food - Spices,Spicy chili powder to add heat to dishes.,2.09,3
Bike Repair Tool Kit,Outdoor,Essential tools for bike maintenance and repair.,29.99,57
Vegetable Spring Rolls,Food - Frozen Foods,Crispy spring rolls filled with vegetables,6.49,37
Golf Putting Green,Sports,Indoor putting green for practicing your putting skills.,79.99,92
Teriyaki Stir-Fry Sauce,Food - Condiments,Savory teriyaki sauce for stir-frying veggies or meats.,3.49,73
Bicycle Repair Kit,Outdoor,Essential tools for on-the-go bike maintenance.,14.99,86
Himalayan Salt Grinder,Food - Spices,"Natural pink salt, perfect for seasoning.",4.99,80
Fettuccine Alfredo Dinner Kit,Food - Prepared Meals,Easy meal kit for creamy fettuccine Alfredo.,5.49,96
Colorful Post-It Notes Set,Office,Variety pack of sticky notes in different colors and sizes.,9.99,83
Red Lentil Pasta,Food - Pasta,"Gluten-free pasta made from red lentils, packed with protein.",3.99,14
Maple Bacon Potato Chips,Food - Snacks,Savory potato chips with a hint of maple sweetness and crispy bacon flavor.,2.89,33
3D Night Light,Home,Color-changing 3D night light for kids' rooms.,19.99,75
Lentil Vegetable Stew,Food - Canned Soups,"Hearty stew made with lentils and mixed vegetables, vegan-friendly.",4.49,10
Quinoa,Food - Grains,"Protein-rich quinoa, a great alternative to rice.",4.49,9
Magic Color-Changing Mug,Kitchen,Heat-sensitive mug that changes color when filled with hot liquid.,14.99,78
Whole Chicken,Food - Meat,"A whole free-range chicken, ready for roasting.",12.99,32
Self-Cleaning Water Bottle,Fitness,Water bottle with built-in UV-C light for self-cleaning.,49.99,85
Digital Photo Frame,Home,Wi-Fi-enabled digital frame for displaying photos.,79.99,82
Board Game,Toys,Strategic board game for family game nights.,34.99,88
Matcha Green Tea Powder,Food - Beverages,High-quality matcha for making traditional tea or lattes.,14.99,80
Classic Black Dress,Clothing - Dresses,A versatile black dress that can be styled for any occasion.,79.99,86
Wall Art Stickers,Home,Removable wall art stickers for home decoration.,19.99,52
Spicy Thai Coconut Soup,Food - Soups,"A ready-to-eat soup with coconut milk, spices, and vegetables.",3.99,6
Fitness Resistance Bands Set,Fitness,Variety of bands suitable for all fitness levels.,34.99,22
Almond Crunch Granola Bars,Food - Snacks,Nutty granola bars for healthy snacking.,3.49,46
Lentil Pasta,Food - Pasta,"Gluten-free pasta made from lentils, high in protein.",4.99,3
Home Brewing Starter Kit,Food,All-in-one kit for brewing beer at home.,79.99,89
Travel Pillow,Travel,Memory foam travel pillow for neck support.,22.99,43
Creamy Ranch Dressing,Food - Dressings,Classic ranch dressing for salads and dipping.,2.49,49
Cotton Quilted Throw Blanket,Home,Cozy throw blanket perfect for adding warmth to your home.,39.99,44
Chicken Sausage,Food - Meat,"Flavorful chicken sausage, low in fat and fully cooked.",6.99,50
Peanut Butter Protein Balls,Food - Snacks,No-bake energy bites made with peanut butter and oats.,5.29,25
Lemon Pepper Seasoning,Food - Seasonings,A zesty seasoning for meats and vegetables,3.29,64
Applewood Smoked Bacon,Food - Meat,Delicious bacon with a rich applewood smoked flavor.,6.99,26
Digital Thermostat,Home,Programmable digital thermostat for home heating.,59.99,15
Cushion Covers,Home,Set of decorative cushion covers for home decor.,35,94
Instant Pot,Kitchen,7-in-1 multi-cooker for versatile cooking.,89.99,70
Buffalo Chicken Wraps,Food - Prepared Meals,Savory wraps with buffalo chicken and fresh vegetables.,5.99,51
Red Lentil Pasta,Food - Pasta,"Gluten-free pasta made from red lentils, packed with protein.",3.99,89
Wrap Front Midi Skirt,Clothing - Bottoms,"Elegant midi skirt with a wrap design, great for both formal and casual events.",44.99,12
Decorative Wall Tapestry,Home,Colorful tapestry to add charm to any room.,34.99,54
Measuring Cups Set,Kitchen,Stackable measuring cups made from stainless steel.,19.99,35
Italian Herbal Seasoning,Food - Spices,A fragrant blend of Italian herbs for pasta sauces and marinades.,1.99,4
Sriracha Honey Glaze,Food - Sauces,"A spicy glaze made with sriracha and honey, perfect for meats.",3.59,40
Balsamic Salad Dressing,Food - Deli,"Tangy and sweet balsamic dressing, perfect for salads.",2.99,76
Sunflower Seeds,Food - Nuts,Salted sunflower seeds perfect for snacking.,2.99,70
Almond Flour Brownies,Food - Baking,Deliciously rich brownies made with almond flour.,5.99,51
Portable Air Purifier,Health,Compact air purifier to improve indoor air quality.,69.99,35
Kids' STEM Robotics Kit,Toys,Educational robotics kit for building and programming.,59.99,17
Pecan Nuts,Food - Snacks,"Nutty, crunchy pecans great for baking.",6.49,41
Ceramic Bakeware Set,Kitchen,Durable ceramic bakeware for casseroles and desserts.,49.99,15
Whole Grain Hamburger Buns,Food - Bakery,Soft hamburger buns made with whole grains.,2.69,23
Lemon Zest Olive Oil,Food - Oils & Vinegars,High-quality olive oil infused with fresh lemon zest.,8.99,43
Asian Stir-Fry Kit,Food - Frozen Meals,Prepped vegetables and sauces for a quick Asian stir-fry meal.,5.49,99
Solar Charger,Electronics,Portable solar charger for outdoor adventures.,39.99,61
Garlic Parmesan Wings,Food - Frozen Foods,Frozen chicken wings with garlic parmesan sauce.,8.99,40
Chocolate Chip Pancake Mix,Food - Bakery,Easy-to-make pancake mix with chocolate chips included.,3.99,92
Peanut Butter Cookies,Food - Bakery,Soft and chewy cookies made with creamy peanut butter.,3.49,51
Savory Quinoa Pudding,Food - Sides,"A delicious savory quinoa pudding, great as a side dish.",2.99,97
Herbal Tea Set,Food,Assorted herbal tea bags for relaxation and wellness.,19.99,77
Honey BBQ Ribs,Food - Meat,Tender ribs smothered in a honey barbecue sauce.,12.99,3
Beard Grooming Kit,Grooming,Everything you need for maintaining a healthy beard.,34.99,22
Basil Lemonade,Food - Beverages,Refreshing basil-infused lemonade for a cool drink.,2.99,55
Smart LED Light Strip,Home,"Customizable RGB LED light strip, perfect for mood lighting.",29.99,94
Cable Knit Beanie,Clothing - Accessories,A cozy cable knit beanie to keep your head warm in winter.,19.99,17
Carrot Sticks,Food - Produce,"Freshly cut carrot sticks, perfect for snacking.",2.49,90
Body Wash,Beauty,Moisturizing body wash with natural ingredients.,12.99,7
Warm Wool Sweater,Clothing - Tops,Cozy wool sweater to keep you warm on chilly days.,59.99,100
Peach Mango Smoothie,Food - Beverages,A refreshing blend of peaches and mangoes for a delicious smoothie.,3.49,42
Slingback Sandals,Clothing - Footwear,Chic slingback sandals for a relaxed summer vibe.,29.99,12
Electrolyte Water Bottle,Fitness,Water bottle that tracks hydration levels and adds electrolytes.,34.99,88
Coconut Curry Chicken,Food - Frozen Foods,"Tender chicken cooked in a rich coconut curry sauce, ready to heat and serve.",9.99,27
Over-the-Door Hooks,Home,Convenient hooks that utilize door space for hanging items.,12.99,89
Compact Digital Camera,Photography,High-resolution camera for stunning photos.,249.99,67
Almond Butter Granola Bars,Food - Snacks,"Crunchy granola bars made with almond butter, oats, and honey, perfect for on-the-go snacking.",4.99,88
Legging Pants,Clothing - Activewear,Comfortable and stretchy legging pants perfect for workouts or daily wear.,34.99,87
Peach Halves (canned),Food - Canned Goods,"Sweet peach halves packed in juice, great for desserts.",2.49,59
Apple Cinnamon Breakfast Muffins,Food - Bakery,Delicious muffins filled with apples and a hint of cinnamon for breakfast.,3.49,37
Children's Educational Workbook,Books,Activity workbook for early learning and fun.,12.99,59
Golf Polo Shirt,Clothing - Tops,Breathable polo shirt designed for both style and comfort on the greens.,39.99,49
Raspberry Limeade,Food - Beverages,Sweet and tangy raspberry lime beverage,1.99,76
Home Delivery Food Journal,Health,Track your meals and nutrition with this handy food journal.,14.99,45
Folding Pocket Knife,Tools,Compact knife with safety lock for everyday use.,24.99,73
Eco-Friendly Yoga Blocks,Fitness,Sustainable foam blocks for yoga practice.,15.99,90
Lemon Herb Quinoa,Food - Grains,"Fluffy quinoa mixed with lemon zest and herbs, a perfect side.",3.49,39
Garlic & Herb Goat Cheese,Food - Dairy,"Creamy goat cheese infused with herbs and garlic, perfect for spreading on crackers.",5.49,98
Kids' Building Blocks,Toys,Colorful building blocks for creative play.,19.99,56
Pepperoni Pizza Roll-Ups,Food - Frozen Foods,"Savory pizza filled with pepperoni and cheese, ready to microwave.",5.99,68
Coffee Making Kit,Kitchen,Complete set to brew coffee with different methods.,44.99,18
Hiking Gaiters,Outdoor,Protective gaiters to keep dirt and debris out of shoes during hikes.,29.99,62
Pistachios,Food - Nuts,"Roasted pistachios, a healthy and tasty snack.",6.99,2
Animal Paw Print Soap Dispenser,Home,Cute dispenser for bathrooms or kitchens featuring paw prints.,16.99,51
Rice Cakes,Food - Snacks,"Light and crispy rice cakes, a perfect low-calorie snack.",2.29,30
Organic Honeycrisp Apples,Food - Fruits,"Sweet and crisp apples, perfect for snacking.",1.99,90
Portable Bluetooth Speaker,Audio,Compact Bluetooth speaker with rich sound quality.,49.99,51
Grapes (red),Food - Produce,"Fresh seedless red grapes, perfect for snacking.",3.49,41
Non-Stick Baking Sheet,Kitchen,Durable baking sheet coated for easy food release.,18.99,74
Wireless HDMI Transmitter,Electronics,Stream HD video wirelessly to your TV.,79.99,75
Set of Herb Garden Markers,Garden,Stylish markers for labeling your indoor garden plants.,8.99,42
Granola Cereal,Food - Breakfast,"Crunchy granola with oats, nuts, and honey.",4.49,80
Peanut Butter Pretzel Nuggets,Food - Snacks,Crunchy pretzel nuggets filled with creamy peanut butter.,3.29,94
Infrared Space Heater,Home Appliances,Energy-efficient infrared heater for home use.,99.99,69
Digital Bullet Journal,Apps,Stylish digital journaling app for notes and organizing tasks.,24.99,45
Chocolate Peanut Butter Cups,Food - Snacks,Delicious dark chocolate cups filled with creamy peanut butter.,2.29,81
Marinated Artichokes,Food - Vegetables,Artichoke hearts marinated in herbs and oil.,3.79,30
Coconut Chips,Food - Snacks,"Crunchy, toasted coconut chips for snacking.",3.59,34
LED Camping Lantern with USB Charging,Outdoor,Rechargeable lantern with multiple brightness settings for outdoors.,34.99,22
Chicken Sausage,Food - Meat,"Flavorful chicken sausage, low in fat and fully cooked.",6.99,96
Sourdough Bread,Food - Bakery,Artisan-made sourdough bread with a tangy flavor.,4.99,77
Tofu,Food - Meat Alternatives,"Firm tofu, a great plant-based protein option.",2.49,86
Foldable Electric Scooter,Outdoor,Compact electric scooter for commuting and short trips.,349.99,71
Scented Candles,Home,Set of three aromatic candles with various scents.,19.99,55
Roasted Chickpeas,Food - Snacks,Crispy roasted chickpeas seasoned to perfection,2.99,25
Italian Breadsticks,Food - Bakery,Crispy breadsticks seasoned with herbs and garlic.,2.49,6
Banana Peanut Butter Smoothie,Food - Frozen Foods,Frozen smoothie mix with bananas and peanut butter for a quick drink.,5.49,48
Car Escape Tool,Automotive,Multi-functional tool for emergency situations in the car.,12.99,72
Creamy Garlic Dressing,Food - Condiments,"Rich and creamy dressing with garlic flavor, perfect for salads.",3.99,52
Veggie Burger Patties,Food - Meat Substitutes,Delicious veggie burger patties for grilling or frying.,5.99,26
Poppy Seed Dressing,Food - Condiments,"A light and tangy dressing with poppy seeds, perfect for salads.",3.49,92
Solar String Lights,Outdoor,Eco-friendly string lights for outdoor decor.,29.99,10
Kids' Art Supplies Kit,Toys,"Complete kit with crayons, markers, and paper for young artists.",29.99,33
Chili Beans (canned),Food - Canned Goods,"Canned beans with chili sauce, perfect for chili dishes.",1.69,76
Falafel Mix,Food - Baking & Cooking,Easy-to-make falafel mix for a tasty vegetarian meal.,2.79,40
Crispy Onion Rings,Food - Frozen Foods,"Frozen onion rings, crispy and ready to bake.",4.29,77
Vegetarian Pizza,Food - Frozen Foods,Frozen pizza loaded with vegetables and cheese.,5.49,72
